,304
,1206
,304
,304
,1198
,1199
,1200
,577
,1203
,1204
,1205
,1132
,1206
,1207
,1208
,1209
,1047
,1212
,1213
,1214
,1165
,1872
,1216
,1217
,1218
,1219
,1220
,1169
,1223
,1224
,1105
,1105
,1226
,1225
,1227
,1558
,1228
,1229
,355
,1232
,1233
,1069
,1234
,1235
,532
,1138
,1236
,1275
,1238
,1237
,1229
,1240
,1241
,1242
,1245
,791
,1167
,1247
,329
,1524
,1251
,480
,1123
,1071
,1585
,1244
,1112
,1195
,1184
,1524
,415
,313
,1243
,1165
,1256
,1258
,1246
,1100
,1260
,1261
,1237
,1262
,1264
,1265
,551
,1524
,509
,984
,1267
,1268
,355
,1081
,1269
,748
,1271
,444
,1273
,1274
,1275
,1276
,1204
,343
,1281
,302
,1086
,514
,1284
,1188
,1283
,1285
,1286
,1287
,1291
,1292
,1293
,1294
,1289
,1295
,1298
,1299
,1300
,1302
,1303
,1304
,1305
,1123
,687
,1308
,1309
,1524
,1310
,1313
,1314
,1315
,1316
,469
,1316
,1318
,1146
,413
,1079
,1127
,1301
,1322
,1321
,1324
,1325
,1326
,1156
,1327
,1329
,1331
,871
,1310
,1334
,1335
,1049
,1338
,1339
,1474
,1340
,1341
,1342
,1343
,1344
,1346
,1347
,1348
,748
,1349
,1375
,1350
,472
,1352
,313
,1079
,1354
,1355
,1576
,1292
,899
,1356
,1357
,1358
,1359
,1360
,522
,1237
,1011
,1362
,1363
,1364
,1365
,1340
,1369
,1341
,475
,479
,1240
,1011
,1073
,1139
,1372
,1510
,1373
,1474
,1441
,1135
,1376
,1377
,1378
,349
,1379
,898
,1524
,1380
,1381
,1122
,458
,899
,1373
,1172
,1283
,1384
,1385
,1386
,1027
,557
,1389
,413
,1390
,1391
,1136
,1392
,935
,1393
,1396
,1397
,1398
,665
,1399
,1363
,1402
,1403
,1115
,1250
,1405
,1524
,1053
,1407
,1408
,1409
,525
,1411
,1410
,1412
,1133
,610
,1415
,1220
,659
,1418
,1420
,1421
,908
,1421
,355
,1423
,1424
,1425
,1519
,1427
,1428
,1275
,1426
,1432
,1433
,1436
,1421
,879
,1437
,1196
,1161
,803
,748
,523
,563
,1441
,1082
,1443
,1444
,1445
,1446
,979
,1447
,1448
,1449
,1450
,1451
,1454
,1455
,1456
,694
,1457
,1457
,1459
,610
,845
,1425
,568
,1454
,1462
,1465
,1467
,1466
,1471
,736
,1474
,1475
,1476
,1477
,1478
,1479
,415
,1069
